a,b,number,start,end
GMB,NGA,3,1994,9999
GMB,RWA,3,1994,9999
GMB,STP,3,1994,9999
GMB,SEN,3,1994,9999
GMB,SYC,3,1994,9999
GMB,SLE,3,1994,9999
GMB,SOM,3,1994,9999
GMB,SDN,3,1994,9999
GMB,TZA,3,1994,9999
GMB,TGO,3,1994,9999
GMB,TUN,3,1994,9999
GMB,UGA,3,1994,9999
GMB,ESH,3,1994,9999
GMB,ZMB,3,1994,9999
GMB,ZWE,3,1994,9999
GHA,GIN,3,1994,9999
GHA,GNB,3,1994,9999
GHA,KEN,3,1994,9999
GHA,LSO,3,1994,9999
GHA,LBR,3,1994,9999
GHA,LBY,3,1994,9999
GHA,MDG,3,1994,9999
GHA,MWI,3,1994,9999
GHA,MLI,3,1994,9999
GHA,MRT,3,1994,9999
GHA,MUS,3,1994,9999
GHA,MOZ,3,1994,9999
GHA,NAM,3,1994,9999
GHA,NER,3,1994,9999
GHA,NGA,3,1994,9999
GHA,RWA,3,1994,9999
GHA,STP,3,1994,9999
