ISO3,year,kaopen,ka_open,P_ka,P_strat,P_manuf,P_total,P_select,P_screen,P_interp
BEL,1984,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1985,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1986,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1987,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1988,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1989,0.39859986,0.5539952,0.4460048,,,,,,
BEL,1990,2.2808304,1.0,0.0,,,,,,
BEL,1991,2.2808304,1.0,0.0,,,,,,
BEL,1992,2.2808304,1.0,0.0,,,,,,
BEL,1993,2.2808304,1.0,0.0,,,,,,
BEL,1994,2.2808304,1.0,0.0,,,,,,
BEL,1995,2.2808304,1.0,0.0,,,,,,
BEL,1996,2.029058,0.9403412,0.059658825,,,,,,
BEL,1997,1.7772856,0.8806823,0.11931771,0.17500000000000002,0.135,0.148,0.04000000000000001,0.0,0.0
BEL,1998,1.5255132,0.82102346,0.17897654,0.15630000000000002,0.11633333333333334,0.131,0.03996666666666667,0.0,1.0
BEL,1999,1.5255132,0.82102346,0.17897654,0.1376,0.09766666666666668,0.11399999999999999,0.039933333333333335,0.0,1.0
BEL,2000,1.5255132,0.82102346,0.17897654,0.1189,0.079,0.097,0.039900000000000005,0.0,1.0
BEL,2001,1.7772856,0.8806823,0.11931771,0.1002,0.060333333333333336,0.08,0.03986666666666667,0.0,1.0
BEL,2002,2.029058,0.9403412,0.059658825,0.08149999999999999,0.04166666666666667,0.063,0.03983333333333333,0.0,1.0
BEL,2003,2.2808304,1.0,0.0,0.0628,0.023,0.046,0.039799999999999995,0.0,0.0
BEL,2004,2.2808304,1.0,0.0,0.056666666666666664,0.023,0.04466666666666667,0.033666666666666664,0.0,1.0
BEL,2005,2.2808304,1.0,0.0,0.05053333333333333,0.023,0.043333333333333335,0.027533333333333333,0.0,1.0
BEL,2006,2.2808304,1.0,0.0,0.0444,0.023,0.042,0.021400000000000002,0.0,0.0
BEL,2007,2.2808304,1.0,0.0,0.04365,0.023,0.0415,0.02065,0.0,1.0
BEL,2008,2.2808304,1.0,0.0,0.0429,0.023,0.041,0.0199,0.0,1.0
BEL,2009,2.2808304,1.0,0.0,0.04215,0.023,0.0405,0.01915,0.0,1.0
BEL,2010,2.2808304,1.0,0.0,0.0414,0.023,0.04,0.0184,0.0,0.0
BEL,2011,2.2808304,1.0,0.0,0.0414,0.023,0.04,0.0184,0.0,0.0
BEL,2012,2.2808304,1.0,0.0,0.0414,0.023,0.04,0.0184,0.0,0.0
BEL,2013,2.2808304,1.0,0.0,0.0414,0.023,0.04,0.0184,0.0,0.0
BEL,2014,2.2808304,1.0,0.0,0.0414,0.023,0.04,0.0184,0.0,0.0
BEL,2015,2.2808304,1.0,0.0,0.0414,0.023,0.04,0.0184,0.0,0.0
BEL,2016,2.2808304,1.0,0.0,0.0414,0.023,0.04,0.0184,0.0,0.0
BEL,2017,2.2808304,1.0,0.0,0.0414,0.023,0.04,0.0184,0.0,0.0
BEL,2018,2.2808304,1.0,0.0,0.0414,0.023,0.04,0.0184,0.0,0.0
BEL,2019,2.2808304,1.0,0.0,0.0414,0.023,0.04,0.0184,0.0,0.0
BEL,2020,2.2808304,1.0,0.0,0.0414,0.023,0.04,0.0184,0.0,0.0
BEL,2021,2.2808304,1.0,0.0,,,,,,
BEL,2022,2.2808304,1.0,0.0,,,,,,
BEL,2023,2.2808304,1.0,0.0,,,,,,
BEN,1970,,,,,,,,,
BEN,1971,,,,,,,,,
BEN,1972,,,,,,,,,
BEN,1973,,,,,,,,,
BEN,1974,,,,,,,,,
BEN,1975,,,,,,,,,
BEN,1976,,,,,,,,,
BEN,1977,,,,,,,,,
BEN,1978,,,,,,,,,
BEN,1979,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1980,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1981,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1982,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1983,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1984,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1985,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1986,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1987,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1988,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1989,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1990,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1991,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1992,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1993,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1994,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1995,-0.17476626,0.41813296,0.58186704,,,,,,
BEN,1996,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,1997,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,1998,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,1999,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2000,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2001,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2002,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2003,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2004,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2005,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2006,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2007,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2008,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2009,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2010,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2011,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2012,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2013,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2014,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2015,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2016,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2017,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2018,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2019,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2020,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2021,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2022,-1.2538762,0.16243199,0.83756804,,,,,,
BEN,2023,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,1970,,,,,,,,,
BFA,1971,,,,,,,,,
BFA,1972,,,,,,,,,
BFA,1973,,,,,,,,,
BFA,1974,,,,,,,,,
BFA,1975,,,,,,,,,
BFA,1976,,,,,,,,,
BFA,1977,,,,,,,,,
BFA,1978,,,,,,,,,
BFA,1979,,,,,,,,,
BFA,1980,,,,,,,,,
BFA,1981,,,,,,,,,
BFA,1982,,,,,,,,,
BFA,1983,,,,,,,,,
BFA,1984,,,,,,,,,
BFA,1985,,,,,,,,,
BFA,1986,,,,,,,,,
BFA,1987,,,,,,,,,
BFA,1988,-0.17476626,0.41813296,0.58186704,,,,,,
BFA,1989,-0.17476626,0.41813296,0.58186704,,,,,,
BFA,1990,-0.17476626,0.41813296,0.58186704,,,,,,
BFA,1991,-0.17476626,0.41813296,0.58186704,,,,,,
BFA,1992,-0.17476626,0.41813296,0.58186704,,,,,,
BFA,1993,-0.17476626,0.41813296,0.58186704,,,,,,
BFA,1994,-0.17476626,0.41813296,0.58186704,,,,,,
BFA,1995,-0.17476626,0.41813296,0.58186704,,,,,,
BFA,1996,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,1997,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,1998,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,1999,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2000,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2001,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2002,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2003,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2004,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2005,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2006,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2007,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2008,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2009,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2010,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2011,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2012,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2013,-1.2538762,0.16243199,0.83756804,,,,,,
BFA,2014,-1.2538762,0.16243199,0.83756804,,,,,,
