ISO3,year,gP,gN,gS,gP_noCN,sCN
COD,2021,0.06482161910490378,0.0034867186620146434,0.061334900442889126,0.030833587171225942,0.41844072455713394
COD,2022,0.03476604827058801,0.0012947313747045614,0.033471316895883445,0.01999618033313908,0.44909777843401416
COD,2023,0.03996184251758013,0.0002531384888905539,0.039708704028689576,0.013159482756674317,0.5600624352245681
COG,1991,0.008291697298191982,0.00863989341940914,-0.00034819612121715984,0.008291697298191982,0.0
COG,1992,0.018395337119594166,0.018187010857185684,0.00020832626240848144,0.018395337119594166,0.0
COG,1993,0.006535973661544698,0.008877351505739574,-0.002341377844194877,0.006535973661544696,0.0
COG,1994,0.029986226704413765,0.027992383835827764,0.0019938428685860017,0.02996476644754652,0.00017227444930437133
COG,1995,0.03077104067860908,0.024270347382808047,0.006500693295801031,0.030708119818770505,0.0006200965269387047
COG,1996,0.03211294111932276,0.02114438070947319,0.01096856040984957,0.03203894112071736,0.0008033411118045957
COG,1997,0.03861690352647357,0.024487828797533785,0.014129074728939782,0.03817239296972195,0.004849178467237368
COG,1998,0.02994630271842899,0.022326835189525784,0.007619467528903204,0.028005002445269735,0.025136169768372445
COG,1999,0.05020031563488257,0.020141002042073038,0.030059313592809542,0.04781720089945379,0.0332410466108128
COG,2000,0.052350207428204794,0.018964575595067354,0.03338563183313743,0.04898759878390849,0.03984728705962074
COG,2001,0.014215750902360698,0.005846370820912259,0.008369380081448436,0.011227466022989534,0.03840142926144415
COG,2002,0.04107225223891278,0.005889015209146726,0.03518323702976606,0.03673505961232704,0.04984627041476059
COG,2003,0.031971631105363565,0.006173962875740097,0.025797668229623476,0.026142346369154842,0.06232792079758264
COG,2004,0.05125061005158917,0.008986268868093214,0.04226434118349595,0.04003949833950988,0.11470073303610076
COG,2005,0.057519684646179056,0.007197094096471223,0.050322590549707835,0.03574758088917113,0.2027523184022344
COG,2006,0.06739399558185137,0.005773978135484344,0.061620017446367026,0.030221218717901913,0.3102871834513421
COG,2007,0.07978646202060727,0.004260018898969844,0.07552644312163743,0.03055999929829609,0.37089173307853346
COG,2008,0.05000225421369857,0.00026736625124035193,0.049734887962458216,0.011570850021580613,0.40761999870554994
COG,2009,0.029845025366286984,-0.008122008285069999,0.03796703365135698,-0.006201795501863649,0.40726349581575166
COG,2010,0.06496569031448735,0.006240665794095745,0.05872502452039161,0.02957291291302566,0.3516647208777008
COG,2011,0.046621608621305585,0.0062900170408040045,0.04033159158050158,0.0209388124302088,0.28088827284654744
COG,2012,0.03951710430245308,0.0021061608563762197,0.03741094344607686,0.020794082309089048,0.24442142781824513
COG,2013,0.03553950862985796,0.0037462199294997526,0.031793288700358205,0.017712010796583508,0.23931678296366435
COG,2014,0.042672350625360116,0.008634765318501648,0.034037585306858464,0.020836730844164146,0.30144237337157137
COG,2015,0.0368472806289631,0.008047200581652694,0.0288000800473104,0.01709760947627921,0.29240342038049466
COG,2016,0.030104389171584034,0.006277051094060769,0.023827338077523266,0.011683238064618576,0.279155520133704
COG,2017,0.030654772762249427,0.008966027365266627,0.0216887453969828,0.01806211649899567,0.1879553402728882
COG,2018,0.031181270857909144,0.007411912046641689,0.02376935881126745,0.015771949874957676,0.23643485578455373
COG,2019,0.033941323286911976,0.005266926265113752,0.028674397021798213,0.011529198176196413,0.3876217821437697
COG,2020,-0.012228858828291885,-0.01556418143871844,0.0033353226104265513,-0.02428721919478354,0.5426038854599503
COG,2021,0.07351564410613275,0.011547404135701204,0.061968239970431535,0.02302130536854985,0.6216566975286232
COG,2022,0.04039597036826189,0.00724516287612508,0.03315080749213682,0.021824112724944205,0.5647024092787749
COG,2023,0.041989068526220946,0.0029735702353507077,0.03901549829087024,0.017800049757420198,0.5054540301002768
COL,1991,0.017162266515260628,0.007237908496482853,0.009924358018777776,0.017133435525493956,0.00032216748695689846
COL,1992,0.028888072883525094,0.018009492332522678,0.01087858055100242,0.028698901056218876,0.001415396400921016
COL,1993,0.020640166218365594,0.012728863972333273,0.007911302246032322,0.02049452382251038,0.001120258736157164
COL,1994,0.03292113085179596,0.02386963512270437,0.009051495729091585,0.032772532872427984,0.001192885771206062
COL,1995,0.029422648557016838,0.019072125124009246,0.010350523433007595,0.029379441173879806,0.0004258166256806288
COL,1996,0.028485663854089998,0.020244820582238317,0.008240843271851685,0.02836280264555199,0.0013337765097928354
COL,1997,0.043534647427276474,0.02529937959006024,0.018235267837216233,0.043407728355296674,0.0013845638119908952
COL,1998,0.03299863591963759,0.026259207149253422,0.006739428770384167,0.03286853286678479,0.0016845886590070936
COL,1999,0.023794954195457248,0.02654405515147558,-0.0027491009560183326,0.023732206519990418,0.0008752404464226925
COL,2000,0.037325753148780345,0.026010129296307315,0.01131562385247303,0.03723363259119465,0.0010916388704453616
COL,2001,0.015123362861450027,0.007526300822914167,0.007597062038535862,0.015008631608514796,0.0014743721805386444
COL,2002,0.010004634946806496,0.01251575631836275,-0.0025111213715562526,0.009852392078476924,0.001749689219924866
COL,2003,0.014537649777197181,0.014979087071532046,-0.0004414372943348649,0.01434208142345167,0.0020910573791410813
COL,2004,0.0501156493012184,0.0196670082178056,0.030448641083412806,0.04977708421681947,0.0034638548217430995
COL,2005,0.044955370592235304,0.021771693991064836,0.023183676601170475,0.04434140438284882,0.0057175491060974925
COL,2006,0.04271095056852471,0.016487563082476973,0.026223387486047744,0.041665601333058064,0.008725699217550969
COL,2007,0.037473343115590085,0.012981018481957238,0.024492324633632847,0.035759353364433505,0.012913879936312845
COL,2008,0.02147150616643567,0.0010021003794649546,0.020469405786970714,0.019677653473790364,0.019026373030730737
COL,2009,-0.0223606631087096,-0.016998608845114466,-0.005362054263595133,-0.024068008887025698,0.019289901120174775
COL,2010,0.02743582112293186,0.01379700703243571,0.01363881409049615,0.02514750116248763,0.02273688190786795
COL,2011,0.031581400404735366,0.010134662181251586,0.021446738223483777,0.028792787438808976,0.030498574758307948
COL,2012,0.028605634515203718,0.009111779151109651,0.01949385536409407,0.025684888530805847,0.03812914945322169
COL,2013,0.02634410138432107,0.007619138491110523,0.01872496289321055,0.022846694924549445,0.046949272999302884
COL,2014,0.027820159142912554,0.013584632982924533,0.014235526159988023,0.02349861713502967,0.05965921244896359
COL,2015,0.028140547837283154,0.0137098725137841,0.014430675323499054,0.022480567651383482,0.08379874038651963
COL,2016,0.017079375325102352,0.008973260700066443,0.008106114625035915,0.011354850315747646,0.08674988589071166
COL,2017,0.02846732272897721,0.01335389219622304,0.015113430532754168,0.02378819407415007,0.06983969069853858
COL,2018,0.024767372198806377,0.013576262359912715,0.011191109838893657,0.021381300129336152,0.051954622939391515
COL,2019,0.01680268109505877,0.01075021846252302,0.006052462632535748,0.013159131616742823,0.06301585124734914
COL,2020,-0.060686589806593444,-0.01771603639072483,-0.04297055341586861,-0.06267558891996161,0.08950127664860687
COL,2021,0.07611530174376852,0.02710035927917579,0.04901494246459273,0.06785499105312534,0.10169610282832722
COL,2022,0.04044671635712074,0.013384665735605943,0.027062050621514795,0.037188905252023376,0.09905814568235016
COL,2023,0.031072782521890045,0.010770043894146954,0.020302738627743087,0.027587345146057103,0.07283174175503096
CRI,1991,0.01660706851005697,0.006243585308658901,0.01036348320139807,0.016192188290776104,0.0046360155761407
CRI,1992,0.030111632809337853,0.01920893859073273,0.010902694218605125,0.029672222981887444,0.0032876940354119445
CRI,1993,0.024297306712127424,0.014137983111529796,0.010159323600597625,0.024012194132433898,0.002193041774096547
CRI,1994,0.0391707451954343,0.02715148229453028,0.01201926290090402,0.03907076233045933,0.0008026228721301858
CRI,1995,0.03265383250584758,0.020609308154429833,0.01204452435141774,0.03263345983957672,0.00020077633445331834
CRI,1996,0.03436017939405841,0.022551218325595708,0.0118089610684627,0.033939272957766595,0.004569343930659339
CRI,1997,0.043623565888167765,0.02737297990629958,0.016250585981868182,0.04321349855149651,0.004473436387281787
CRI,1998,0.03969746856943355,0.028351327935462276,0.011346140633971272,0.03927705082775215,0.005443615227716203
