ISO3,year,D_US,D_EU,D_ON,D_S
BLZ,2015,0.0,5.999999999994,0.0,4.507837516279103
BMU,2015,0.0,3.999999999996,0.0,0.0
BRA,2015,0.0,0.0,0.0,6.0
BRB,2015,0.0,5.999999999994,0.0,4.507129474255123
CHE,2015,0.0,6.0,6.0,0.0
CIV,2015,0.0,1.6460176991150441,0.0,3.8812260536383545
CYM,2015,0.0,3.999999999996,0.0,0.0
CYP,2015,0.0,6.0,0.0,6.0
CZE,2015,0.0,6.0,0.0,6.0
DEU,2015,0.0,6.0,0.0,0.0
DMA,2015,0.0,5.999999999994,0.0,4.50753939612502
DNK,2015,0.0,6.0,0.0,0.0
DZA,2015,0.0,3.0344827586206895,0.0,3.9810944227887424
EGY,2015,0.0,3.458650401340786,3.999999999996,4.994455598700778
ESP,2015,0.0,6.0,0.0,0.0
EST,2015,0.0,6.0,2.6930637217194318,6.0
FIN,2015,0.0,6.0,0.0,0.0
FJI,2015,0.0,0.0,0.5079365079365079,1.999999999998
FRA,2015,0.0,6.0,0.0,0.0
FRO,2015,0.0,2.388794906556567,4.999999999998016,1.7578735197782818
GBR,2015,0.0,6.0,0.0,0.0
GRC,2015,0.0,6.0,0.0,0.0
GRD,2015,0.0,5.999999999994,0.0,4.50753939612502
GRL,2015,0.0,3.999999999996,0.0,0.0
GUY,2015,0.0,5.999999999994,0.0,4.507129474255123
HRV,2015,0.0,5.999999999999508,3.2920353982300883,6.0
HTI,2015,0.0,5.999999999994,0.0,2.999999999997
HUN,2015,0.0,6.0,0.0,6.0
IND,2015,0.0,0.0,3.999999999996,4.999999999999
IRL,2015,0.0,6.0,0.0,0.0
ISL,2015,0.0,6.0,6.0,0.0
ITA,2015,0.0,6.0,0.0,0.0
JAM,2015,0.0,5.999999999994,0.0,4.507129474255123
KEN,2015,0.0,2.4589774078478,0.0,3.7586206896551726
KNA,2015,0.0,5.999999999994,0.0,4.50753939612502
LBN,2015,0.0,2.4690265486725664,3.999999999996,3.4913033040418435
