ISO3,country,conv,conv_2019,rel_1995,rel_2020,conv_pp,pop_1995,region,inc_1995,D_desta_bb_mean,D_desta_max_mean,D_desta_bb_2020,D_desta_bb_1995,n_pta_desta_mean,D_wb_bb_le_mean,D_wb_bb_le_2020,D_wb_all_le_2020,n_pta_wb_2020
PAN,Panama,44.390753009363706,62.81608886955723,13.590796191858734,21.185148624281027,7.594352432422292,2.724557,Latin America & Caribbean,LM,4.769230769230769,5.153846153846154,6.0,2.0,15.692307692307692,8.0,12.0,26.0,17.0
PER,Peru,25.442167994936877,35.65624908565838,7.646902524871395,9.862331373343634,2.2154288484722393,24.11822,Latin America & Caribbean,LM,4.615384615384615,5.384615384615385,6.0,3.0,19.615384615384617,6.076923076923077,12.0,32.0,20.0
PHL,Philippines,27.211567954701138,36.4625080688421,4.203541713471549,5.518154087052073,1.3146123735805242,68.17281,East Asia & Pacific,LM,4.038461538461538,4.038461538461538,6.0,2.0,7.615384615384615,6.653846153846154,11.0,27.0,11.0
PNG,Papua New Guinea,-37.96975787354751,-34.25738456547615,6.138205937643415,4.1989519917758145,-1.9392539458676001,4.353833,East Asia & Pacific,LM,4.0,3.0384615384615383,4.0,4.0,8.192307692307692,1.3846153846153846,2.0,7.0,5.0
POL,Poland,60.21747245313907,59.601648429462806,13.571260553900983,24.782287385865633,11.21102683196465,38.60516,Europe & Central Asia,LM,6.0,6.653846153846154,6.0,6.0,29.5,7.846153846153846,12.0,47.0,49.0
PRK,North Korea,-47.83699867647866,-45.395860389694235,1.5566953544593771,0.9648285223501236,-0.5918668321092535,22.6693,East Asia & Pacific,LM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0
PRY,Paraguay,-3.5807093725929495,-3.9787298600275136,10.669545046939296,10.277174270521645,-0.3923707764176516,4.579806,Latin America & Caribbean,LM,3.9615384615384617,4.923076923076923,4.0,3.0,15.0,11.0,11.0,18.0,9.0
ROU,Romania,51.06899431585974,51.729825716263655,10.992676355997459,18.318644765787877,7.325968409790418,22.62715,Europe & Central Asia,LM,6.0,7.0,6.0,6.0,28.0,6.461538461538462,12.0,47.0,49.0
RUS,Russian Federation,35.54402753463542,35.515080871401175,11.473696135980905,16.370767269265507,4.8970711332846015,148.3758,Europe & Central Asia,LM,1.7692307692307692,2.6538461538461537,2.0,1.0,15.807692307692308,7.8076923076923075,12.0,29.0,13.0
RWA,Rwanda,64.00453417970246,67.10350197437837,0.7247472056284912,1.3745309676185342,0.6497837619900431,5.674118,Sub-Saharan Africa,L,4.0,3.5384615384615383,4.0,4.0,12.307692307692308,5.884615384615385,7.0,16.0,6.0
SAU,Saudi Arabia,-40.03514389846401,-33.89833589653228,57.290304524568,38.38935310582918,-18.90095141873882,13.28924,"Middle East, North Africa, Afghanistan & Pakistan",UM,2.8076923076923075,3.3461538461538463,6.0,0.0,6.1923076923076925,4.423076923076923,11.0,27.0,4.0
SDN,Sudan,-36.17925524147633,-32.36910943471541,4.142416936934861,2.8848925353344037,-1.2575244016004574,24.67214,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,11.23076923076923,5.153846153846154,7.0,14.0,5.0
SEN,Senegal,-0.6699842610579099,-1.945497290378595,2.305357214864655,2.2899630729260503,-0.015394141938604555,8.848101,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,12.76923076923077,2.9615384615384617,5.0,14.0,3.0
SLE,Sierra Leone,-6.465719154554933,-5.4713873182494766,1.8113189567935728,1.697910258344844,-0.1134086984487288,4.179179,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,8.76923076923077,2.1538461538461537,4.0,11.0,2.0
SLV,El Salvador,-3.8243914283599634,2.0205947248220335,6.65667442427594,6.406902003374929,-0.24977242090101104,5.762131,Latin America & Caribbean,LM,5.076923076923077,5.846153846153846,6.0,2.0,15.384615384615385,9.461538461538462,12.0,28.0,13.0
SOM,Somalia,42.950962477916974,46.95069979180439,0.545065901274821,0.8376771556648345,0.29261125439001345,7.285007,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,9.846153846153847,0.3076923076923077,4.0,8.0,1.0
SVK,Slovakia,47.29477986204017,47.472046915023085,18.604014370779158,29.85418760016749,11.25017322938833,5.361725,Europe & Central Asia,LM,6.0,6.653846153846154,6.0,6.0,31.923076923076923,7.846153846153846,12.0,47.0,49.0
SVN,Slovenia,18.465665452348052,20.718845470637508,31.877725484322525,38.34270430802405,6.4649788237015215,1.988689,Europe & Central Asia,UM,5.346153846153846,6.346153846153846,6.0,3.0,35.19230769230769,7.846153846153846,12.0,47.0,49.0
