D口径,控制,FE,样本,时期,b_D,b_D2,se_D2,p_D2,拐点,N,国家数,支持
D_wbonly,+能力、hc、Geo,年份,发展中国家,1990–2023,0.009625447031826708,-0.0013996205719153246,0.0007149140070392532,0.05034534735985963,3.438591581522223,3405,117,False
D_wbonly,+能力、hc、Geo,年份,发展中国家,1995–2019,0.005238345453137422,-0.0007440817092685324,0.000675694935459083,0.27091268264104906,3.520006867449385,2623,115,False
D_wbonly,+能力、hc、Geo,年份,剔除中东欧入盟国,1990–2023,0.010818378663496778,-0.001450106507417464,0.000753613248295441,0.05442460663684345,3.7302014052621337,3112,107,False
D_wbonly,+能力、hc、Geo,年份,剔除中东欧入盟国,1995–2019,0.00732257475728457,-0.0008820317462217187,0.0007407744727694614,0.23390155425605896,4.150970069190613,2389,105,False
D_wbonly,+能力、hc、Geo,年份,全部国家,1990–2023,0.009625447031826708,-0.0013996205719153246,0.0007149140070392532,0.05034534735985963,3.438591581522223,3405,117,False
D_wbonly,+能力、hc、Geo,年份,全部国家,1995–2019,0.005238345453137422,-0.0007440817092685324,0.000675694935459083,0.27091268264104906,3.520006867449385,2623,115,False
D_wbonly,+能力、hc、Geo,区域×年份,发展中国家,1990–2023,0.003431469619266423,-0.0003429895279891298,0.0006743772244964269,0.6110677462588994,5.002295025425928,3405,117,False
D_wbonly,+能力、hc、Geo,区域×年份,发展中国家,1995–2019,0.004582061135873976,-0.0006026619995283106,0.0006562799132307954,0.35855606254905936,3.8015182137419052,2623,115,False
D_wbonly,+能力、hc、Geo,区域×年份,剔除中东欧入盟国,1990–2023,0.004378984850741939,-0.0004421521923032821,0.0007230860191465108,0.540931975861858,4.951897702837008,3112,107,False
D_wbonly,+能力、hc、Geo,区域×年份,剔除中东欧入盟国,1995–2019,0.005996331468421729,-0.0007356113714234869,0.0007049615479375924,0.29684609255549077,4.075746855855549,2389,105,False
D_wbonly,+能力、hc、Geo,区域×年份,全部国家,1990–2023,0.003431469619266423,-0.0003429895279891298,0.0006743772244964269,0.6110677462588994,5.002295025425928,3405,117,False
D_wbonly,+能力、hc、Geo,区域×年份,全部国家,1995–2019,0.004582061135873976,-0.0006026619995283106,0.0006562799132307954,0.35855606254905936,3.8015182137419052,2623,115,False
